,0,1,2,3,4,5,6,7,8,9,10
A_1077,[1.44580624e-31],[1.9065394e-40],[7.17431394e-33],,,,,,,,
A_1085,[2.14418023e-06],[0.92406861],,,,,,,,,
A_1091,[0.92491831],[0.99634647],[0.9970965],,,,,,,,
A_1099,[0.96917247],[0.9940012],,,,,,,,,
A_1127,[1.03465184e-38],[4.22115974e-38],,,,,,,,,
A_1148,[1.98652321e-31],[3.2170638e-32],[2.04801416e-05],[0.834159],[0.99073821],[0.99231518],,,,,
A_1160,[0.30108107],[0.94585661],[0.98696165],[0.9947624],,,,,,,
A_1179,[7.69510707e-32],[3.45077059e-33],[6.9313878e-11],[1.13532849e-13],[0.00048814],[0.96663254],[0.97436596],,,,
A_1180,[3.09996222e-06],[0.9330825],[0.99689398],[0.99933962],[0.99934625],,,,,,
A_1181,[7.87736519e-32],[3.56324183e-40],[4.83255283e-12],[0.00015492],[0.9614549],[0.96885796],,,,,
A_1231,[3.03256412e-20],[7.88901583e-24],,,,,,,,,
A_1329,[1.70513285e-54],[1.88650603e-38],,,,,,,,,
A_1494,[1.10252698e-29],[0.96142211],[0.97866409],,,,,,,,
A_1624,[3.62888585e-54],[1.52785688e-31],[6.18242345e-31],,,,,,,,
A_1625,[4.4345837e-11],[0.39639915],[0.93899977],,,,,,,,
A_1628,[8.30641356e-39],[2.30843521e-55],[5.36036142e-19],[9.27786618e-08],,,,,,,
A_2044,[7.15779512e-39],[6.13964275e-54],,,,,,,,,
A_2126,[5.13478939e-30],[0.5715194],,,,,,,,,
A_2669_99,[1.20945684e-06],[2.44928262e-15],,,,,,,,,
B_131,[2.00057088e-54],[1.43847571e-26],[8.95281441e-54],,,,,,,,
B_51,[0.97183077],[0.99899825],[0.99947495],,,,,,,,
B_Goat,[0.55017414],[0.93386329],,,,,,,,,
C_102,[4.4356702e-30],[0.49250085],,,,,,,,,
C_106,[1.68803529e-26],[6.49949975e-16],[4.34946812e-10],[0.86347293],[3.03274799e-36],,,,,,
C_109,[0.99274512],[0.99969308],[0.99992987],[0.99999292],[0.99999524],[0.99993064],,,,,
C_114,[1.9040766e-54],[4.8887449e-55],[1.60622591e-23],[0.00958471],[0.00051789],[0.00407246],,,,,
C_120,[7.53576688e-55],[2.58673652e-18],[0.00041373],[0.00022327],[0.00414623],[0.67854913],,,,,
C_124,[4.80431567e-55],[2.02516964e-06],[0.00030192],[3.67572718e-13],[0.0049933],[0.82499921],,,,,
C_145,[1.43476966e-54],[8.52664417e-56],[4.14611912e-55],,,,,,,,
C_216,[0.04701399],[0.78483389],,,,,,,,,
C_241,[0.94469247],[0.99685739],[0.9989582],,,,,,,,
C_319,[1.60276451e-53],[0.07005945],[0.35394341],[0.65031119],,,,,,,
C_357,[8.91564399e-40],[9.88762275e-57],[0.00020165],[3.28435434e-18],,,,,,,
C_66,[4.57157998e-21],[3.88429799e-56],[2.16021184e-58],[8.06082533e-07],[0.00091796],[4.51474431e-09],[0.04450059],[3.30207089e-26],[0.00024409],[0.00243154],[0.74451054]
