,0,1,2,3,4,5,6,7,8,9,10
A_1077,[0.99963266],[0.99999217],[0.99960821],,,,,,,,
A_1085,[0.0020227],[5.79744355e-12],,,,,,,,,
A_1091,[3.21446519e-08],[3.37489717e-13],[5.14182202e-10],,,,,,,,
A_1099,[4.17083835e-09],[6.95706894e-12],,,,,,,,,
A_1127,[0.99989446],[0.99892424],,,,,,,,,
A_1148,[0.99936783],[0.9883957],[0.00055481],[3.16436649e-09],[3.37489633e-13],[8.6409859e-10],,,,,
A_1160,[1.83657366e-06],[2.38783233e-11],[5.82314887e-10],[9.28071964e-10],,,,,,,
A_1179,[0.9996752],[0.99295439],[0.00945692],[0.00139415],[2.51711682e-06],[1.14998813e-11],[1.08573429e-09],,,,
A_1180,[0.00175624],[7.50602253e-10],[9.24616043e-11],[1.38426943e-10],[2.61155509e-12],,,,,,
A_1181,[0.99978686],[0.99927792],[0.01043656],[9.04528884e-06],[8.26547808e-12],[1.58373605e-09],,,,,
A_1231,[0.98130111],[0.98055393],,,,,,,,,
A_1329,[0.99999611],[0.999335],,,,,,,,,
A_1494,[0.98784321],[4.3909265e-11],[2.88978149e-11],,,,,,,,
A_1624,[0.99999186],[0.99932307],[0.99549452],,,,,,,,
A_1625,[0.04600481],[7.88740297e-08],[1.72758228e-11],,,,,,,,
A_1628,[0.99991685],[0.99995133],[0.7434935],[0.00662585],,,,,,,
A_2044,[0.99992836],[0.999956],,,,,,,,,
A_2126,[0.98913986],[1.27782492e-07],,,,,,,,,
A_2669_99,[0.00145407],[0.05627239],,,,,,,,,
B_131,[0.99999536],[0.9984805],[0.99995201],,,,,,,,
B_51,[1.13022552e-10],[7.67322768e-12],[1.40370515e-12],,,,,,,,
B_Goat,[6.60443163e-07],[3.05162991e-11],,,,,,,,,
C_102,[0.98913986],[2.14741088e-07],,,,,,,,,
C_106,[0.95715071],[0.14412153],[0.00526758],[2.33413249e-08],[0.95790346],,,,,,
C_109,[1.35458998e-09],[1.90896635e-14],[5.19536138e-13],[1.48240104e-13],[1.33856724e-13],[6.10218087e-11],,,,,
C_114,[0.99999576],[0.9999813],[0.81227106],[7.98404105e-08],[2.44101925e-07],[1.01662863e-06],,,,,
C_120,[0.99989062],[0.20396631],[1.40162727e-06],[8.1805758e-08],[1.70553174e-08],[3.13283224e-12],,,,,
C_124,[0.99982192],[1.3039489e-05],[6.089259e-12],[0.00012166],[7.35502941e-08],[1.25040166e-10],,,,,
C_145,[0.99999681],[0.99999946],[0.99999012],,,,,,,,
C_216,[8.0199724e-06],[2.61412195e-12],,,,,,,,,
C_241,[2.30336014e-08],[1.57768595e-12],[7.98093635e-12],,,,,,,,
C_319,[0.99984623],[1.26897048e-06],[1.49279236e-09],[7.23890232e-09],,,,,,,
C_357,[0.99999105],[0.99999091],[6.7534509e-05],[0.06989177],,,,,,,
C_66,[0.99441125],[0.99999984],[0.99997375],[0.00010923],[2.33503086e-09],[8.93626937e-05],[1.32872161e-11],[0.05521405],[2.72284123e-07],[3.29018582e-08],[5.34733964e-10]
