,0,1,2,3,4,5,6,7,8,9,10
A_1077,[0.00055648],[0.0002742],[0.00371067],,,,,,,,
A_1085,[0.99922017],[0.07593139],,,,,,,,,
A_1091,[0.07508169],[0.00365353],[0.0029035],,,,,,,,
A_1099,[0.03082753],[0.0059988],,,,,,,,,
A_1127,[0.0003228],[0.00847299],,,,,,,,,
A_1148,[0.00241924],[0.0550321],[0.9998572],[0.165841],[0.00926179],[0.00768482],,,,,
A_1160,[0.69891848],[0.05414339],[0.01303835],[0.0052376],,,,,,,
A_1179,[0.00284837],[0.04755874],[0.99740031],[0.99989434],[0.99951176],[0.03336746],[0.02563404],,,,
A_1180,[0.99932649],[0.0669175],[0.00310602],[0.00066038],[0.00065375],,,,,,
A_1181,[0.00050563],[0.00566115],[0.99648115],[0.99984459],[0.0385451],[0.03114204],,,,,
A_1231,[0.24061773],[0.24818996],,,,,,,,,
A_1329,[1.86514276e-05],[0.00595008],,,,,,,,,
A_1494,[0.07210694],[0.03857789],[0.02133591],,,,,,,,
A_1624,[4.76037461e-05],[0.00332007],[0.030575],,,,,,,,
A_1625,[0.97559827],[0.60360084],[0.06100023],,,,,,,,
A_1628,[0.00020109],[0.00141926],[0.56588984],[0.9987723],,,,,,,
A_2044,[0.00015467],[0.00070497],,,,,,,,,
A_2126,[0.04965209],[0.42848058],,,,,,,,,
A_2669_99,[0.99920181],[0.98768204],,,,,,,,,
B_131,[2.04834342e-05],[0.00377692],[0.00084373],,,,,,,,
B_51,[0.02816923],[0.00100175],[0.00052505],,,,,,,,
B_Goat,[0.44982575],[0.06613671],,,,,,,,,
C_102,[0.04693287],[0.50749911],,,,,,,,,
C_106,[0.10672107],[0.95534145],[0.99973433],[0.13652707],[0.09658751],,,,,,
C_109,[0.00725488],[0.00030692],[7.01305737e-05],[7.0773491e-06],[4.75565811e-06],[6.93630592e-05],,,,,
C_114,[1.6543787e-05],[0.00051969],[0.50999525],[0.99041527],[0.99948197],[0.99592744],,,,,
C_120,[0.00091623],[0.94102927],[0.99958615],[0.99977672],[0.99585377],[0.32145087],,,,,
C_124,[0.00136065],[0.99999415],[0.99969808],[0.99998122],[0.99500669],[0.17500079],,,,,
C_145,[9.93349933e-06],[1.7658024e-06],[0.0001982],,,,,,,,
C_216,[0.95298297],[0.21516611],,,,,,,,,
C_241,[0.05530753],[0.00314261],[0.0010418],,,,,,,,
C_319,[0.00122554],[0.92994023],[0.64605659],[0.34968881],,,,,,,
C_357,[9.3312758e-06],[0.0001343],[0.99979054],[0.99670087],,,,,,,
C_66,[0.00396979],[8.89776484e-06],[0.00054962],[0.99997055],[0.99908204],[0.9999877],[0.95549941],[0.95811077],[0.99975586],[0.99756846],[0.25548946]
