,0,1,2,3,4,5,6,7,8,9,10
A_1077,[0.00036734],[7.83257594e-06],[0.00039179],,,,,,,,
A_1085,[0.9979773],[1.],,,,,,,,,
A_1091,[0.99999997],[1.],[1.],,,,,,,,
A_1099,[1.],[1.],,,,,,,,,
A_1127,[0.00010554],[0.00107576],,,,,,,,,
A_1148,[0.00063217],[0.0116043],[0.99944519],[1.],[1.],[1.],,,,,
A_1160,[0.99999816],[1.],[1.],[1.],,,,,,,
A_1179,[0.0003248],[0.00704561],[0.99054308],[0.99860585],[0.99999748],[1.],[1.],,,,
A_1180,[0.99824376],[1.],[1.],[1.],[1.],,,,,,
A_1181,[0.00021314],[0.00072208],[0.98956344],[0.99999095],[1.],[1.],,,,,
A_1231,[0.01869889],[0.01944607],,,,,,,,,
A_1329,[3.89235071e-06],[0.000665],,,,,,,,,
A_1494,[0.01215679],[1.],[1.],,,,,,,,
A_1624,[8.14251051e-06],[0.00067693],[0.00450548],,,,,,,,
A_1625,[0.95399519],[0.99999992],[1.],,,,,,,,
A_1628,[8.31536685e-05],[4.86682541e-05],[0.2565065],[0.99337415],,,,,,,
A_2044,[7.16396616e-05],[4.40040533e-05],,,,,,,,,
A_2126,[0.01086014],[0.99999987],,,,,,,,,
A_2669_99,[0.99854593],[0.94372761],,,,,,,,,
B_131,[4.6360137e-06],[0.0015195],[4.799233e-05],,,,,,,,
B_51,[1.],[1.],[1.],,,,,,,,
B_Goat,[0.99999934],[1.],,,,,,,,,
C_102,[0.01086014],[0.99999979],,,,,,,,,
C_106,[0.04284929],[0.85587847],[0.99473242],[0.99999998],[0.04209654],,,,,,
C_109,[1.],[1.],[1.],[1.],[1.],[1.],,,,,
C_114,[4.24444234e-06],[1.8695541e-05],[0.18772894],[0.99999992],[0.99999976],[0.99999898],,,,,
C_120,[0.00010938],[0.79603369],[0.9999986],[0.99999992],[0.99999998],[1.],,,,,
C_124,[0.00017808],[0.99998696],[1.],[0.99987834],[0.99999993],[1.],,,,,
C_145,[3.19493885e-06],[5.35129566e-07],[9.87648065e-06],,,,,,,,
C_216,[0.99999198],[1.],,,,,,,,,
C_241,[0.99999998],[1.],[1.],,,,,,,,
C_319,[0.00015377],[0.99999873],[1.],[0.99999999],,,,,,,
C_357,[8.95014823e-06],[9.08606779e-06],[0.99993247],[0.93010823],,,,,,,
C_66,[0.00558875],[1.62138649e-07],[2.62511522e-05],[0.99989077],[1.],[0.99991064],[1.],[0.94478595],[0.99999973],[0.99999997],[1.]
